stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\programming\Projekt_ALGO\Visual Studio\problem\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.47488] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.47516] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.47530] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.47555] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.47576] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.47604] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.47622] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.47648] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.47677] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.47704] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.47720] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.47749] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.47773] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.47804] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.47825] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.47851] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.47879] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.47906] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.47920] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.47947] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.47965] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.47991] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.48016] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.48047] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.48063] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.48091] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.48112] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.48140] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.48167] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.48211] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.48254] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.48278] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.48292] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.48326] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.48343] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.48422] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.48433] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.48486] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.48528] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.48610] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.48672] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.48684] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.48736] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.48787] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.48834] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.48849] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.48875] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.48905] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.48927] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.48958] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.48985] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.49010] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.49036] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.49128] Score is : 593
